ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a002ef4 000000ac t uartProcessIRQ
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:10002b6c 00000004 b rxIsrCallbackUART0
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:10002b70 00000004 b txIsrCallbackUART0
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:10002b74 00000004 b txIsrCallbackUART2
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:10002b78 00000004 b txIsrCallbackUART3
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a005148 00000048 t lpcUarts
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:10002b7c 00000004 b rxIsrCallbackUART2
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:10002b80 00000004 b rxIsrCallbackUART3
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:100000e8 00000002 b bufferIndex.11542
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a0007c4 00000028 t minusculizar
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a000838 0000000e t uartRxCallback
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a000848 0000000c t uartTxSendByte
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a000854 00000034 t uartSend
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a000888 00000074 t uartGetTxData
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:100000f0 00000004 b txIndex
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:100000f4 00000004 b txCompleteCallback
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:100000f8 0000000c b mensajeParaTx
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a000a34 00000058 t header_init
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a000a8c 0000004c t queues_init
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a000ad8 00000048 t pools_init
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a000b20 0000002c t uart_task_create
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a000bc4 0000000e t pool_free
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a000b4c 00000028 t mayusculizador_task_create
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a000b74 00000028 t minusculizador_task_create
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a000b9c 00000028 t performance_task_create
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a000c0c 00000028 t mayusculizar
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a000c80 00000028 t performance
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:10000104 00000004 b xNextFreeByte
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:10000108 00002000 b ucHeap
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:10002108 00000004 b pucAlignedHeap.9926
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a000d70 00000012 t prvGetDisinheritPriorityAfterTimeout
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a000d84 0000001e t prvIsQueueFull
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a000da4 0000001a t prvIsQueueEmpty
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a000dc0 00000076 t prvCopyDataToQueue
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a000e38 00000024 t prvCopyDataFromQueue
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a000e5c 0000006a t prvUnlockQueue
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a000f48 00000022 t prvInitialiseNewQueue
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1000210c 00000168 b uxIdleTaskStack.9314
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:10002274 00000060 b xIdleTaskTCB.9313
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:100022d4 00000060 b xTimerTaskTCB.9320
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:10002334 000005a0 b uxTimerTaskStack.9321
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a0017c0 00000014 t prvTaskCheckFreeStackSpace
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a0017d4 00000034 t prvResetNextTaskUnblockTime
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a001808 00000092 t prvInitialiseNewTask
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a00189c 00000068 t prvInitialiseTaskLists
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a001904 000000a8 t prvAddNewTaskToReadyList
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a0019ac 0000003a t prvDeleteTCB
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a0019e8 00000044 t prvCheckTasksWaitingTermination
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a001a2c 00000028 t prvIdleTask
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a001a54 00000094 t prvAddCurrentTaskToDelayedList
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:100028d4 00000004 b xNumOfOverflows
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:100028d8 00000004 b pxDelayedTaskList
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:100028dc 00000004 b xSchedulerRunning
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:100028e0 00000014 b xTasksWaitingTermination
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:100028f4 00000004 b pxOverflowDelayedTaskList
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:100028f8 00000004 b uxPendedTicks
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:100028fc 0000008c b pxReadyTasksLists
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:10002988 00000004 b uxSchedulerSuspended
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1000298c 00000004 b uxDeletedTasksWaitingCleanUp
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:10002990 00000004 b uxCurrentNumberOfTasks
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:10002998 00000014 b xPendingReadyList
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:100029ac 00000004 b xIdleTaskHandle
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:100029b0 00000004 b xTickCount
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:100029b4 00000004 b xNextTaskUnblockTime
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:100029b8 00000004 b uxTaskNumber
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:100029bc 00000014 b xDelayedTaskList1
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:100029d0 00000014 b xDelayedTaskList2
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:100029e4 00000014 b xSuspendedTaskList
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:100029f8 00000004 b uxTopReadyPriority
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:100029fc 00000004 b xYieldPending
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a002398 00000020 t prvGetNextExpireTime
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a0023b8 00000048 t prvInsertTimerInActiveList
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a002400 0000006c t prvCheckForValidListAndQueue
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a00246c 00000040 t prvInitialiseNewTimer
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a002820 00000016 t prvTimerTask
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a0025d8 0000007c t prvSwitchTimerLists
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a002654 0000002c t prvSampleTimeNow
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a002680 0000005c t prvProcessExpiredTimer
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a0026dc 00000074 t prvProcessTimerOrBlockTask
ejercicios/RTOS2/ejercicio3/out/ejercicio3.elf:1a002750 000000d0 t prvProcessReceivedCommands
